Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G099_025,99,25,21.3045,92.1295,11.98,spillover_excluded,1.0,0.061,3.6,79,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_026,99,26,21.3045,92.1385,11.77,spillover_excluded,1.0,0.011,0.7,14,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_027,99,27,21.3045,92.1475,11.63,spillover_excluded,1.0,0.017,1.0,22,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_028,99,28,21.3045,92.1565,11.56,spillover_excluded,1.0,0.286,17.0,371,0.0674,0.0889,,,,0.02156,0.0,0.0,0.0,0.0,0.00539,0.0,0.0,0.01078,0.0,0.0,0.02695,0.0,0.0,0.0027,0.0
G099_029,99,29,21.3045,92.1655,11.57,spillover_excluded,1.0,0.282,15.9,366,0.0355,0.1257,,,,0.0,0.0,0.0,0.0,0.0,0.00273,0.0,0.0,0.0,0.0,0.00546,0.02732,0.0,0.0,0.0,0.0
G099_030,99,30,21.3045,92.1745,11.65,spillover_excluded,1.0,0.66,43.1,855,0.0082,0.0175,,,,0.0,0.0,0.0,0.00351,0.0,0.00117,0.0,0.00351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_031,99,31,21.3045,92.1835,11.81,spillover_excluded,1.0,0.856,66.2,1109,0.0433,0.101,,,,0.00271,0.0,0.00451,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.03156,0.00271,0.0,0.0,0.0,0.0
G099_032,99,32,21.3045,92.1925,12.04,spillover_excluded,1.0,0.776,57.9,1006,0.0139,0.0567,,,,0.0,0.0,0.00497,0.0,0.0,0.0,0.00199,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
G099_033,99,33,21.3045,92.2015,12.33,spillover_excluded,0.999,0.917,75.0,1189,0.0311,0.0328,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00421,0.0,0.00841,0.00841,0.01009,0.0
G099_034,99,34,21.3045,92.2105,12.69,spillover_excluded,1.0,0.992,81.9,1285,0.0109,0.0109,,,,0.00078,0.0,0.0,0.0,0.00078,0.0,0.00778,0.0,0.0,0.0,0.00156,0.0,0.0,0.0,0.0,0.0
